A0,MICROGRAM,µg
B0,MILIGRAM,mg
C0,GRAM ,g
D0,MICROLITER,µl
E0,MILILITER,ml
F0,LITER,L
G0,MICROMOL,µmol
H0,MILIMOL,mmol
I0,MOL,mol
J0,BECQUEREL,Bq
K0,KILOBECQUEREL,KBq
L0,GIGABECQUEREL,GBq
M0,MEGABECQUEREL,MBq
N0,PICOCURIE,pCi
O0,NANOCURIE,?Ci
P0,MICROCURIE,µCi
Q0,CURIE,Ci
R0,MILIGRAM EKIVALEN,mgrek
S0,EKIVALEN,grek
T0,%,%
U0,INTERNASIONAL UNIT,IU
V0,VIAL,vial
W0,AMPUL,Amp
X0,PUFF,puff
Y0,MENIT,Mnt
Z0,JAM,Jam
BC,MILIGRAM / GRAM,mg/g
BW,MILIGRAM / AMPUL,mg/amp
BV,MILIGRAM / VIAL,mg/vial
BZ,MILIGRAM / JAM,mg/jam
CF,GRAM / LITER,g/l
CE,GRAM / MILILITER,g/ml
CV,GRAM / VIAL,g/vial
AE,MICROGRAM / MILILITER,µg/ml
AW,MICROGRAM / AMPUL,µg/amp
AV,MICROGRAM / VIAL,µg/vial
AZ,MICROGRAM / JAM,µg/jam
HE,MILIMOL / MILILITER,mmol/ml
UC,INTERNASIONAL UNIT / GRAM,IU/g
UE,INTERNASIONAL UNIT / MILILITER,IU/ml
UW,INTERNASIONAL UNIT / AMPUL,IU/amp
UV,INTERNASIONAL UNIT / VIAL,IU/vial
ME,MEGABEQUEREL / MILILITER,MBq/ml
MV,MEGABEQUEREL / VIAL,MBq/vial
